t,c_in
172.719,1.72E-06
173.328,1.49E-06
173.922,1.65E-06
174.5,1.59E-06
175.078,1.60E-06
175.656,1.58E-06
176.25,1.52E-06
176.812,1.56E-06
177.39,1.49E-06
177.969,1.44E-06
178.562,1.43E-06
179.14,1.38E-06
179.719,1.58E-06
180.312,1.38E-06
180.906,1.35E-06
181.484,1.57E-06
182.078,1.42E-06
182.656,1.26E-06
183.25,1.61E-06
183.844,1.38E-06
184.422,1.39E-06
185,1.52E-06
185.594,1.38E-06
186.187,1.27E-06
186.781,1.19E-06
187.359,1.34E-06
187.937,1.37E-06
188.515,1.44E-06
189.109,1.25E-06
189.687,1.47E-06
190.265,1.39E-06
190.859,1.27E-06
191.437,1.37E-06
192.015,1.27E-06
192.609,1.43E-06
193.187,1.22E-06
193.765,1.39E-06
194.344,1.44E-06
194.937,1.26E-06
195.515,1.34E-06
196.094,1.30E-06
196.687,1.27E-06
197.265,1.38E-06
197.844,1.37E-06
198.437,1.25E-06
199.015,1.32E-06
199.594,1.20E-06
200.187,1.23E-06
200.765,1.21E-06
201.359,1.25E-06
201.953,1.32E-06
202.547,1.10E-06
203.125,1.26E-06
203.719,1.34E-06
204.297,1.31E-06
204.906,1.32E-06
205.484,1.21E-06
206.062,1.24E-06
206.64,1.17E-06
207.219,1.26E-06
207.812,1.20E-06
208.39,1.18E-06
208.969,1.23E-06
209.562,1.26E-06
210.156,1.29E-06
210.75,1.23E-06
211.328,1.38E-06
211.906,1.22E-06
212.5,1.14E-06
213.078,1.24E-06
213.656,1.26E-06
214.234,1.17E-06
214.828,1.09E-06
215.406,1.13E-06
215.984,1.24E-06
216.562,1.20E-06
217.156,1.21E-06
217.734,1.12E-06
218.312,1.22E-06
218.89,1.08E-06
219.484,9.99E-07
220.062,1.25E-06
220.64,1.13E-06
221.219,1.17E-06
221.812,1.25E-06
222.39,9.41E-07
222.969,1.18E-06
223.562,1.19E-06
224.14,1.11E-06
224.719,1.20E-06
225.312,1.03E-06
225.89,1.14E-06
226.484,1.10E-06
227.078,1.16E-06
227.672,9.74E-07
228.25,1.03E-06
228.828,1.24E-06
229.422,1.11E-06
230,1.12E-06
230.578,1.05E-06
231.172,1.16E-06
231.75,1.06E-06
232.328,1.03E-06
232.922,9.55E-07
233.5,1.16E-06
234.078,1.07E-06
234.656,1.14E-06
235.25,1.09E-06
235.828,1.00E-06
236.406,1.10E-06
236.984,9.53E-07
237.578,1.06E-06
238.156,9.81E-07
238.734,1.07E-06
239.312,1.02E-06
239.89,9.79E-07
240.484,1.01E-06
241.062,1.10E-06
241.64,1.02E-06
242.234,1.07E-06
242.812,1.07E-06
243.39,1.22E-06
243.969,1.03E-06
244.562,1.10E-06
245.14,1.09E-06
245.719,1.03E-06
246.312,9.58E-07
246.89,9.62E-07
247.469,1.12E-06
248.047,1.13E-06
248.625,1.07E-06
249.219,9.80E-07
249.797,9.91E-07
250.375,1.00E-06
250.953,1.03E-06
251.547,1.05E-06
252.125,9.74E-07
252.719,9.24E-07
253.328,1.00E-06
253.906,9.61E-07
254.484,9.62E-07
255.062,9.85E-07
255.656,9.98E-07
256.234,1.01E-06
256.812,1.02E-06
257.406,9.62E-07
257.984,9.15E-07
258.562,1.07E-06
259.156,1.03E-06
259.734,8.87E-07
260.328,9.51E-07
260.922,1.03E-06
261.515,9.21E-07
262.094,8.83E-07
262.672,1.02E-06
263.265,1.08E-06
263.844,9.39E-07
264.422,9.20E-07
265.015,1.02E-06
265.594,1.07E-06
266.172,9.82E-07
266.75,9.20E-07
267.328,9.67E-07
267.906,9.18E-07
268.5,1.03E-06
269.078,9.30E-07
269.656,8.91E-07
270.25,8.75E-07
270.828,9.99E-07
271.406,9.64E-07
272,8.83E-07
272.578,8.78E-07
273.156,9.67E-07
273.734,1.07E-06
274.312,9.01E-07
274.906,9.38E-07
275.484,9.63E-07
276.062,9.99E-07
276.656,9.41E-07
277.234,8.91E-07
277.812,9.21E-07
278.39,9.26E-07
278.969,9.54E-07
279.562,8.42E-07
280.14,8.90E-07
280.719,1.03E-06
281.312,9.30E-07
281.89,1.01E-06
282.469,9.39E-07
283.062,7.97E-07
283.64,8.92E-07
284.219,1.05E-06
284.797,8.54E-07
285.39,9.22E-07
285.969,8.59E-07
286.547,9.31E-07
287.14,8.37E-07
287.719,8.58E-07
288.344,9.09E-07
288.937,8.51E-07
289.531,9.48E-07
290.109,9.13E-07
290.687,9.19E-07
291.281,8.64E-07
291.859,9.18E-07
292.437,8.80E-07
293.015,8.83E-07
293.594,7.55E-07
294.172,8.52E-07
294.765,9.52E-07
295.344,1.02E-06
295.922,9.63E-07
296.515,9.82E-07
297.094,9.72E-07
297.672,8.61E-07
298.25,7.97E-07
298.828,7.58E-07
299.422,7.84E-07
300.015,8.87E-07
300.594,9.85E-07
301.187,8.32E-07
301.781,8.43E-07
302.359,8.99E-07
302.937,8.64E-07
303.515,8.63E-07
304.094,7.97E-07
304.687,7.93E-07
305.265,8.78E-07
305.859,9.54E-07
306.437,8.87E-07
307.015,9.55E-07
307.594,8.54E-07
308.187,7.95E-07
308.75,9.40E-07
309.328,8.39E-07
309.906,8.47E-07
310.484,8.01E-07
311.062,8.82E-07
311.656,8.53E-07
312.234,8.15E-07
312.828,8.11E-07
313.406,8.06E-07
313.984,7.93E-07
314.562,8.25E-07
315.156,8.62E-07
315.734,8.03E-07
316.344,8.74E-07
316.922,8.49E-07
317.515,8.67E-07
318.094,9.00E-07
318.672,9.08E-07
319.265,8.68E-07
319.844,9.61E-07
320.422,8.32E-07
321.015,8.56E-07
321.594,8.49E-07
322.172,8.47E-07
322.75,8.45E-07
323.344,8.37E-07
323.922,8.29E-07
324.5,8.37E-07
325.078,9.20E-07
325.672,8.07E-07
326.25,9.03E-07
326.828,8.14E-07
327.406,8.44E-07
328,7.99E-07
328.578,8.43E-07
329.156,7.84E-07
329.734,7.99E-07
330.328,9.31E-07
330.922,8.90E-07
331.5,8.29E-07
332.094,8.06E-07
332.672,8.57E-07
333.25,8.76E-07
333.844,8.89E-07
334.422,8.70E-07
335.015,8.94E-07
335.594,7.99E-07
336.172,8.88E-07
336.765,7.64E-07
337.344,8.66E-07
337.922,8.04E-07
338.5,8.78E-07
339.078,7.84E-07
339.672,7.76E-07
340.25,8.59E-07
340.828,8.02E-07
341.422,8.04E-07
342,8.97E-07
342.578,9.53E-07
343.156,9.00E-07
343.75,8.12E-07
344.328,9.13E-07
344.906,8.52E-07
345.5,8.19E-07
346.078,7.76E-07
346.656,8.11E-07
347.25,8.32E-07
347.828,9.21E-07
348.406,8.87E-07
349,9.13E-07
349.594,8.25E-07
350.172,7.74E-07
350.765,8.21E-07
351.344,8.80E-07
351.937,9.36E-07
352.515,8.51E-07
353.094,7.65E-07
353.672,7.71E-07
354.265,8.34E-07
354.859,7.11E-07
355.469,9.04E-07
356.047,7.16E-07
356.625,8.01E-07
357.203,8.46E-07
357.781,8.10E-07
358.359,7.16E-07
358.937,7.17E-07
359.531,8.61E-07
360.109,7.25E-07
360.703,7.86E-07
361.281,7.35E-07
361.859,7.72E-07
362.437,8.70E-07
363.015,8.72E-07
363.609,8.35E-07
364.187,7.60E-07
364.765,7.77E-07
365.344,7.87E-07
365.937,8.01E-07
366.515,7.69E-07
367.094,8.87E-07
367.687,8.95E-07
368.265,7.77E-07
368.859,7.74E-07
369.453,8.49E-07
370.031,8.16E-07
370.625,7.98E-07
371.203,8.37E-07
371.781,8.22E-07
372.375,7.49E-07
372.953,7.27E-07
373.531,7.80E-07
374.125,7.50E-07
374.703,8.75E-07
375.281,6.96E-07
375.875,7.04E-07
376.453,8.27E-07
377.031,7.67E-07
377.625,8.18E-07
378.203,7.17E-07
378.781,8.07E-07
379.375,7.87E-07
379.953,8.00E-07
380.531,7.81E-07
381.109,8.65E-07
381.703,7.54E-07
382.281,7.95E-07
382.859,7.51E-07
383.437,8.08E-07
384.031,8.06E-07
384.609,7.33E-07
385.203,8.49E-07
385.781,7.96E-07
386.359,8.23E-07
386.937,8.19E-07
387.515,8.17E-07
388.094,7.47E-07
388.672,6.81E-07
389.25,8.71E-07
389.859,7.39E-07
390.437,7.33E-07
391.031,8.28E-07
391.609,7.33E-07
392.203,7.73E-07
392.781,7.77E-07
