t,c_in
749.328,9.85E-07
749.906,9.81E-07
750.484,9.89E-07
751.078,9.16E-07
751.656,9.19E-07
752.234,1.02E-06
752.812,9.93E-07
753.406,1.08E-06
753.984,1.07E-06
754.562,9.70E-07
755.14,9.47E-07
755.734,1.03E-06
756.312,9.92E-07
756.89,1.04E-06
757.484,8.24E-07
758.062,1.09E-06
758.64,9.85E-07
759.234,1.01E-06
759.812,9.18E-07
760.39,9.90E-07
760.984,9.81E-07
761.578,8.86E-07
762.156,8.90E-07
762.75,9.77E-07
763.344,7.67E-07
763.937,1.06E-06
764.531,9.07E-07
765.109,9.13E-07
765.703,1.07E-06
766.281,9.96E-07
766.859,9.59E-07
767.437,9.95E-07
768.015,9.94E-07
768.609,9.04E-07
769.203,9.07E-07
769.781,9.77E-07
770.359,9.29E-07
770.937,8.23E-07
771.5,8.78E-07
772.094,9.53E-07
772.687,1.07E-06
773.265,9.11E-07
773.859,8.37E-07
774.422,9.17E-07
775.015,9.33E-07
775.594,8.86E-07
776.172,9.32E-07
776.75,9.15E-07
777.344,9.20E-07
777.922,9.10E-07
778.5,9.60E-07
779.078,9.25E-07
779.687,8.78E-07
780.265,8.94E-07
780.859,9.34E-07
781.437,8.60E-07
782.031,9.09E-07
782.609,8.26E-07
783.187,9.40E-07
783.765,1.02E-06
784.359,9.71E-07
784.937,8.02E-07
785.515,9.58E-07
786.109,8.10E-07
786.687,1.02E-06
787.265,9.32E-07
787.859,9.95E-07
788.437,8.90E-07
789.015,8.28E-07
789.609,8.75E-07
790.187,9.28E-07
790.765,8.49E-07
791.359,8.84E-07
791.937,9.20E-07
792.515,9.09E-07
793.094,8.38E-07
793.687,8.58E-07
794.281,8.25E-07
794.875,1.08E-06
795.453,9.12E-07
796.047,8.32E-07
796.625,8.55E-07
797.203,9.99E-07
797.781,8.61E-07
798.375,9.04E-07
798.953,9.28E-07
799.547,9.27E-07
800.125,8.46E-07
800.719,9.94E-07
801.312,8.07E-07
801.89,7.82E-07
802.469,9.42E-07
803.047,9.31E-07
803.625,8.58E-07
804.219,8.06E-07
804.812,8.60E-07
805.39,9.87E-07
805.969,9.13E-07
806.547,9.63E-07
807.125,1.01E-06
807.703,9.34E-07
808.297,8.24E-07
808.875,8.46E-07
809.453,9.06E-07
810.031,9.58E-07
810.625,8.99E-07
811.203,9.98E-07
811.797,1.06E-06
812.39,9.18E-07
812.969,8.35E-07
813.547,8.82E-07
814.125,8.59E-07
814.703,1.02E-06
815.281,9.23E-07
815.875,9.17E-07
816.453,8.78E-07
817.031,9.14E-07
817.609,8.68E-07
818.203,7.81E-07
818.781,9.01E-07
819.359,9.14E-07
819.953,8.35E-07
820.531,9.00E-07
821.109,9.18E-07
821.703,9.20E-07
822.281,8.75E-07
822.859,8.29E-07
823.453,8.75E-07
824.031,8.01E-07
824.609,8.83E-07
825.187,9.13E-07
825.765,8.24E-07
826.359,9.20E-07
826.937,7.41E-07
827.515,9.59E-07
828.094,8.45E-07
828.687,7.83E-07
829.281,8.82E-07
829.859,8.46E-07
830.437,9.09E-07
831.015,8.41E-07
831.594,8.35E-07
832.172,8.53E-07
832.75,8.75E-07
833.344,8.28E-07
833.922,9.21E-07
834.5,7.22E-07
835.094,8.08E-07
835.672,8.31E-07
836.25,1.01E-06
836.828,7.91E-07
837.422,9.67E-07
838,8.76E-07
838.578,9.18E-07
839.187,8.81E-07
839.765,8.60E-07
840.359,8.23E-07
840.953,8.37E-07
841.531,9.11E-07
842.109,7.88E-07
842.687,8.88E-07
843.265,8.74E-07
843.859,8.78E-07
844.437,8.65E-07
845.015,7.37E-07
845.609,9.24E-07
846.187,9.03E-07
846.765,8.56E-07
847.344,7.86E-07
847.937,8.21E-07
848.531,7.75E-07
849.125,8.72E-07
849.719,8.37E-07
850.297,8.83E-07
850.875,8.92E-07
851.453,8.64E-07
852.062,7.93E-07
852.656,9.22E-07
853.234,7.83E-07
853.812,8.06E-07
854.406,8.98E-07
854.984,8.79E-07
855.562,9.66E-07
856.14,8.77E-07
856.719,8.34E-07
857.312,8.70E-07
857.89,8.81E-07
858.469,9.15E-07
859.062,8.95E-07
859.656,8.12E-07
860.234,8.44E-07
860.812,8.92E-07
861.39,7.86E-07
861.969,9.06E-07
862.547,8.25E-07
863.14,8.73E-07
863.719,7.74E-07
864.312,8.88E-07
864.89,7.47E-07
865.469,8.07E-07
866.047,8.87E-07
866.625,8.08E-07
867.203,9.05E-07
867.781,8.77E-07
868.375,8.19E-07
868.953,8.74E-07
869.531,7.84E-07
870.125,8.24E-07
870.703,8.89E-07
871.297,8.08E-07
871.875,8.14E-07
872.453,8.68E-07
873.031,8.80E-07
873.609,9.40E-07
874.203,8.51E-07
874.781,9.16E-07
875.359,9.29E-07
875.953,8.68E-07
876.531,7.78E-07
877.109,9.46E-07
877.703,7.56E-07
878.281,7.94E-07
878.859,7.75E-07
879.437,8.29E-07
880.031,8.81E-07
880.609,7.94E-07
881.187,8.68E-07
881.781,8.75E-07
882.359,8.57E-07
882.937,7.82E-07
883.531,8.86E-07
884.109,8.57E-07
884.687,9.13E-07
885.265,7.29E-07
885.844,8.88E-07
886.437,8.12E-07
887.015,7.57E-07
887.594,7.83E-07
888.187,7.88E-07
888.765,8.25E-07
889.375,9.36E-07
889.953,8.23E-07
890.531,9.28E-07
891.109,8.50E-07
891.687,8.70E-07
892.297,6.76E-07
892.875,9.01E-07
893.453,7.86E-07
894.031,8.13E-07
894.609,7.30E-07
895.187,7.63E-07
895.781,7.93E-07
896.359,8.33E-07
896.937,9.12E-07
897.515,9.00E-07
898.109,8.71E-07
898.687,8.85E-07
899.265,7.42E-07
899.859,8.77E-07
900.437,8.21E-07
901.031,8.60E-07
901.625,8.40E-07
902.203,7.60E-07
902.797,8.01E-07
903.375,7.22E-07
903.969,8.61E-07
904.562,8.03E-07
905.14,7.17E-07
905.719,7.55E-07
906.312,8.89E-07
906.906,8.48E-07
907.484,6.77E-07
908.062,8.18E-07
908.656,8.42E-07
909.234,7.68E-07
909.828,7.85E-07
910.406,8.46E-07
910.984,8.45E-07
911.562,8.58E-07
912.156,9.55E-07
912.734,7.88E-07
913.312,7.40E-07
913.906,7.77E-07
914.484,7.89E-07
915.062,8.02E-07
915.656,7.50E-07
916.234,8.36E-07
916.812,9.08E-07
917.39,8.46E-07
917.969,9.15E-07
918.562,8.92E-07
919.14,7.13E-07
919.719,8.66E-07
920.344,7.46E-07
920.922,8.08E-07
921.5,8.10E-07
922.078,8.79E-07
922.656,8.36E-07
923.234,7.71E-07
923.828,8.24E-07
924.406,6.94E-07
925,7.24E-07
925.578,8.26E-07
926.156,8.24E-07
926.719,8.30E-07
927.312,8.01E-07
927.89,6.95E-07
928.484,7.80E-07
929.062,7.76E-07
929.64,8.29E-07
930.219,7.98E-07
930.812,8.08E-07
931.39,8.16E-07
931.969,8.01E-07
932.562,7.80E-07
933.14,8.31E-07
933.719,7.92E-07
934.328,7.76E-07
934.922,7.44E-07
935.5,8.12E-07
936.109,7.66E-07
936.703,8.10E-07
937.312,7.44E-07
937.89,7.89E-07
938.469,8.09E-07
939.047,7.89E-07
939.64,7.90E-07
940.219,8.06E-07
940.797,8.54E-07
941.39,9.06E-07
941.969,7.63E-07
942.547,7.31E-07
943.14,8.73E-07
943.719,7.73E-07
944.297,8.43E-07
944.89,8.22E-07
945.469,8.22E-07
946.047,6.68E-07
946.625,9.16E-07
947.203,8.10E-07
947.797,7.35E-07
948.375,8.45E-07
948.969,7.29E-07
949.547,7.85E-07
950.125,8.75E-07
950.703,8.14E-07
951.265,7.67E-07
951.859,7.87E-07
952.453,7.88E-07
953.031,7.66E-07
953.609,7.47E-07
954.187,7.06E-07
954.765,7.74E-07
955.359,7.92E-07
955.953,7.99E-07
956.547,9.15E-07
957.125,7.60E-07
957.719,7.53E-07
958.312,6.95E-07
958.89,7.99E-07
959.469,7.59E-07
960.047,7.07E-07
960.64,7.17E-07
961.219,7.88E-07
961.797,7.94E-07
962.375,8.09E-07
962.953,7.22E-07
963.547,8.45E-07
964.125,7.97E-07
964.703,7.94E-07
965.297,8.41E-07
965.875,7.65E-07
966.453,7.70E-07
967.047,6.55E-07
967.625,7.39E-07
968.203,7.98E-07
968.781,7.77E-07
969.375,6.95E-07
969.953,8.81E-07
970.531,7.30E-07
971.125,9.14E-07
971.703,7.11E-07
972.281,8.22E-07
972.875,7.69E-07
973.469,7.09E-07
974.062,8.52E-07
974.64,8.55E-07
975.219,7.68E-07
975.812,7.47E-07
976.39,8.31E-07
976.953,8.38E-07
977.547,8.26E-07
978.14,8.78E-07
978.719,7.45E-07
979.297,8.08E-07
979.875,7.92E-07
980.453,7.48E-07
981.047,6.90E-07
981.625,6.61E-07
982.219,8.14E-07
982.797,8.18E-07
983.375,7.43E-07
983.953,7.20E-07
984.547,6.66E-07
985.125,7.29E-07
985.703,7.60E-07
986.297,7.60E-07
986.875,7.89E-07
987.453,7.84E-07
988.031,7.39E-07
988.609,8.52E-07
989.203,7.34E-07
989.781,7.42E-07
990.359,7.94E-07
990.937,7.26E-07
991.531,6.99E-07
992.109,8.20E-07
992.687,6.99E-07
993.281,6.64E-07
993.859,6.91E-07
994.437,7.83E-07
995.031,8.18E-07
995.609,7.47E-07
996.187,6.75E-07
996.781,7.42E-07
997.359,7.58E-07
997.937,7.80E-07
998.515,7.33E-07
999.109,7.19E-07
999.687,7.92E-07
1000.26,7.81E-07
1000.86,7.72E-07
1001.44,7.67E-07
1002.01,6.23E-07
1002.61,8.01E-07
1003.2,7.35E-07
1003.78,7.50E-07
1004.37,8.76E-07
1004.95,7.81E-07
1005.53,7.71E-07
1006.11,7.90E-07
1006.69,8.00E-07
1007.26,8.27E-07
1007.86,8.04E-07
1008.45,7.63E-07
1009.03,7.94E-07
1009.61,8.21E-07
1010.19,8.13E-07
1010.78,7.86E-07
1011.36,8.31E-07
1011.95,7.32E-07
1012.53,8.34E-07
1013.11,6.75E-07
1013.69,7.31E-07
1014.28,7.36E-07
1014.86,7.17E-07
1015.44,7.19E-07
1016.01,8.65E-07
1016.61,7.97E-07
1017.19,7.06E-07
1017.76,8.06E-07
1018.34,7.28E-07
1018.92,7.29E-07
1019.51,7.96E-07
1020.09,6.69E-07
1020.69,8.02E-07
1021.26,7.13E-07
1021.84,6.54E-07
1022.42,7.17E-07
1023.01,7.61E-07
1023.59,7.51E-07
1024.17,7.06E-07
1024.78,8.60E-07
1025.37,6.73E-07
1025.95,8.93E-07
1026.53,8.54E-07
1027.12,7.00E-07
1027.7,6.97E-07
1028.28,7.23E-07
1028.87,8.32E-07
1029.45,7.19E-07
1030.03,7.93E-07
1030.62,7.83E-07
1031.2,7.81E-07
1031.78,6.93E-07
1032.36,7.17E-07
